CUE,CUEAnexo,Comun,Especial,Adultos,Artistica,Hospitalaria,Intercultural,Carcelaria
0200001,020000100,1,,,,,,
0200002,020000200,1,,,,,,
0200003,020000300,1,,,,,,
0200005,020000500,1,,,,,,
0200007,020000700,1,,,,,,
0200008,020000800,1,,,,,,
0200009,020000900,1,,,,,,
0200010,020001000,1,,,,,,
0200011,020001100,1,,,,,,
0200012,020001200,1,,,,,,
0200015,020001500,,,1,,,,
0200017,020001700,1,,,,,,
0200018,020001800,1,,,,,,
0200019,020001900,,,1,,,,
0200020,020002000,,,1,,,,
0200021,020002100,,,1,,,,
0200022,020002200,1,,,,,,
0200023,020002300,1,,,,,,
0200024,020002400,1,,,,,,
0200025,020002500,1,,,,,,
0200026,020002600,1,,,,,,
0200027,020002700,1,,,,,,
0200028,020002800,1,,,,,,
0200029,020002900,1,,,,,,
0200031,020003100,1,,,,,,
0200033,020003300,1,,,,,,
0200034,020003400,1,,,,,,
0200035,020003500,1,,,,,,
0200036,020003600,,,1,,,,
0200037,020003700,1,,,,,,
0200037,020003701,1,,,,,,
0200037,020003703,1,,,,,,
0200038,020003800,1,,,,,,
0200039,020003900,1,,,,,,
0200040,020004000,1,,,,,,
0200041,020004100,1,,,,,,
0200042,020004200,1,,,,,,
0200043,020004300,1,,,,,,
0200044,020004400,1,,,,,,
0200045,020004500,,,1,,,,
0200046,020004600,1,,,,,,
0200047,020004700,1,,,,,,
0200048,020004800,1,,,,,,
0200049,020004900,1,,,,,,
0200050,020005000,1,,,,,,
0200051,020005100,1,,,,,,
0200052,020005200,,1,,,,,
0200053,020005300,1,,,,,,
0200054,020005400,1,,,,,,
0200055,020005500,1,,,,,,
0200056,020005600,1,,,,,,
0200057,020005700,,1,,,,,
0200058,020005800,1,,,,,,
0200058,020005801,1,,,,,,
0200060,020006000,,,,,1,,
0200061,020006100,,,1,,,,
0200062,020006200,,1,,,,,
0200063,020006300,1,,,,,,
0200065,020006500,1,,,,,,
0200070,020007000,,,1,,,,
0200071,020007100,1,,,,,,
0200072,020007200,1,,,,,,
0200073,020007300,1,,,,,,
0200075,020007500,1,,,,,,
0200075,020007501,1,,,,,,
0200075,020007502,1,,,,,,
0200076,020007600,1,,,,,,
0200077,020007700,1,,,,,,
0200078,020007800,1,,,,,,
0200079,020007900,1,,,,,,
0200080,020008000,,1,,,,,
0200082,020008200,1,,,,,,
0200083,020008300,1,,,,,,
0200084,020008400,1,,,,,,
0200085,020008500,1,,,,,,
0200086,020008600,1,,,,,,
0200087,020008700,1,,,,,,
0200089,020008900,1,,,,,,
0200090,020009000,1,,,,,,
0200091,020009100,1,,,,,,
0200095,020009500,1,,,,,,
0200096,020009600,,1,,,,,
0200097,020009700,1,,,,,,
0200098,020009800,1,,,,,,
0200099,020009900,1,,,,,,
0200100,020010000,1,,,,,,
0200102,020010200,1,,,,,,
0200103,020010300,1,,,,,,
0200104,020010400,1,,,,,,
0200105,020010500,,1,,,,,
0200106,020010600,,,1,,,,
0200107,020010700,,,1,,,,
0200108,020010800,,,1,,,,
0200110,020011000,1,,,,,,
0200111,020011100,1,,,,,,
0200112,020011200,1,,,,,,
0200113,020011300,1,,,,,,
0200114,020011400,1,,,,,,
0200115,020011500,1,,,,,,
0200116,020011600,1,,,,,,
