CUE,CUEAnexo,Servicios_Complementarios
0200001,020000100,
0200002,020000200,
0200003,020000300,
0200005,020000500,
0200007,020000700,
0200008,020000800,
0200009,020000900,
0200010,020001000,
0200011,020001100,
0200012,020001200,
0200015,020001500,
0200017,020001700,
0200018,020001800,
0200019,020001900,
0200020,020002000,
0200021,020002100,
0200022,020002200,
0200023,020002300,
0200024,020002400,
0200025,020002500,
0200026,020002600,
0200027,020002700,
0200028,020002800,
0200029,020002900,
0200031,020003100,
0200033,020003300,
0200034,020003400,
0200035,020003500,
0200036,020003600,
0200037,020003700,
0200037,020003701,
0200037,020003703,
0200038,020003800,
0200039,020003900,
0200040,020004000,
0200041,020004100,
0200042,020004200,
0200043,020004300,
0200044,020004400,
0200045,020004500,
0200046,020004600,
0200047,020004700,
0200048,020004800,
0200049,020004900,
0200050,020005000,
0200051,020005100,
0200052,020005200,
0200053,020005300,
0200054,020005400,
0200055,020005500,
0200056,020005600,
0200057,020005700,
0200058,020005800,
0200058,020005801,
0200060,020006000,
0200061,020006100,
0200062,020006200,
0200063,020006300,
0200065,020006500,
0200070,020007000,
0200071,020007100,
0200072,020007200,
0200073,020007300,
0200075,020007500,
0200075,020007501,
0200075,020007502,
0200076,020007600,
0200077,020007700,
0200078,020007800,
0200079,020007900,
0200080,020008000,
0200082,020008200,
0200083,020008300,
0200084,020008400,
0200085,020008500,
0200086,020008600,
0200087,020008700,
0200089,020008900,
0200090,020009000,
0200091,020009100,
0200095,020009500,
0200096,020009600,
0200097,020009700,
0200098,020009800,
0200099,020009900,
0200100,020010000,
0200102,020010200,
0200103,020010300,
0200104,020010400,
0200105,020010500,
0200106,020010600,
0200107,020010700,
0200108,020010800,
0200110,020011000,
0200111,020011100,
0200112,020011200,
0200113,020011300,
0200114,020011400,
0200115,020011500,
0200116,020011600,
0200117,020011700,
0200118,020011800,
0200119,020011900,
0200120,020012000,
0200121,020012100,
0200123,020012300,
0200123,020012301,
0200124,020012400,
0200125,020012500,
0200126,020012600,
0200127,020012700,
0200128,020012800,
0200129,020012900,
0200130,020013000,
0200135,020013500,
0200136,020013600,
0200138,020013800,
0200139,020013900,
0200140,020014000,
0200141,020014100,
0200142,020014200,
0200143,020014300,
0200144,020014400,
0200145,020014500,
0200146,020014600,
0200147,020014700,
0200150,020015000,
0200152,020015200,
0200153,020015300,
0200154,020015400,
0200155,020015500,
0200157,020015700,
0200158,020015800,
0200158,020015801,
0200159,020015900,
0200160,020016000,
0200161,020016100,
0200162,020016200,
0200163,020016300,
0200165,020016500,
0200166,020016600,
0200167,020016700,
0200168,020016800,
0200169,020016900,
0200170,020017000,
0200174,020017400,
0200175,020017500,
0200177,020017700,
0200177,020017701,
0200177,020017702,
0200178,020017800,
0200179,020017900,1
0200181,020018100,
0200184,020018400,
0200185,020018500,
0200186,020018600,
0200187,020018700,
0200187,020018701,
0200187,020018702,
0200188,020018800,
0200189,020018900,
0200190,020019000,
0200192,020019200,
0200193,020019300,
0200194,020019400,
0200196,020019600,
0200197,020019700,
0200198,020019800,
0200199,020019900,
0200200,020020000,
0200201,020020100,
0200202,020020200,
0200203,020020300,
0200206,020020600,
0200207,020020700,
0200208,020020800,
0200209,020020900,
0200212,020021200,
0200213,020021300,
0200214,020021400,
0200215,020021500,
0200216,020021600,
0200217,020021700,
0200218,020021800,
0200219,020021900,
0200220,020022000,
0200220,020022001,
0200220,020022002,
0200220,020022003,
0200221,020022100,
0200222,020022200,
0200223,020022300,
0200224,020022400,
0200225,020022500,
0200230,020023000,
0200231,020023100,
0200232,020023200,
0200233,020023300,
0200234,020023400,
0200235,020023500,
0200236,020023600,
0200237,020023700,
0200238,020023800,
0200239,020023900,
0200239,020023901,
0200240,020024000,
0200243,020024300,
0200248,020024800,
0200249,020024900,
0200249,020024902,
0200249,020024903,
0200250,020025000,
0200251,020025100,
0200253,020025300,
0200254,020025400,
0200255,020025500,
0200256,020025600,
0200257,020025700,
0200258,020025800,
0200259,020025900,
0200260,020026000,
0200261,020026100,
0200262,020026200,
0200263,020026300,
0200264,020026400,
0200266,020026600,
0200268,020026800,
0200269,020026900,
0200270,020027000,
0200271,020027100,
0200272,020027200,
0200273,020027300,
0200274,020027400,
0200275,020027500,
0200276,020027600,
0200278,020027800,
0200278,020027804,
0200279,020027900,
0200281,020028100,
0200283,020028300,
0200284,020028400,
0200285,020028500,
0200286,020028600,
0200287,020028700,
0200289,020028900,
0200290,020029000,
0200290,020029001,
0200290,020029002,
0200293,020029300,
0200294,020029400,
0200294,020029401,
0200295,020029500,
0200296,020029600,
0200297,020029700,
0200298,020029800,
0200299,020029900,
0200301,020030100,
0200302,020030200,
0200303,020030300,
0200304,020030400,
0200305,020030500,
0200307,020030700,
0200309,020030900,
0200309,020030902,
0200310,020031000,
0200311,020031100,
0200312,020031200,
0200317,020031700,
0200319,020031900,
0200320,020032000,
0200321,020032100,
0200322,020032200,
0200323,020032300,
0200324,020032400,
0200325,020032500,
0200326,020032600,
0200328,020032800,
0200329,020032900,
0200330,020033000,
0200331,020033100,
0200333,020033300,
0200334,020033400,
0200335,020033500,
0200336,020033600,
0200336,020033601,
0200336,020033602,
0200337,020033700,
0200341,020034100,
0200342,020034200,
0200344,020034400,
0200344,020034401,
0200344,020034402,
0200344,020034403,
0200345,020034500,
0200347,020034700,
0200348,020034800,
